id	dep	circo	inscrits	abstentions	votants	blancs	nuls	exprimes	p1_panneau	p1_sexe	p1_nom	p1_prenom	p1_nuance	p1_voix	p2_panneau	p2_sexe	p2_nom	p2_prenom	p2_nuance	p2_voix	p3_panneau	p3_sexe	p3_nom	p3_prenom	p3_nuance	p3_voix	p4_panneau	p4_sexe	p4_nom	p4_prenom	p4_nuance	p4_voix	p5_panneau	p5_sexe	p5_nom	p5_prenom	p5_nuance	p5_voix	p6_panneau	p6_sexe	p6_nom	p6_prenom	p6_nuance	p6_voix	p7_panneau	p7_sexe	p7_nom	p7_prenom	p7_nuance	p7_voix	p8_panneau	p8_sexe	p8_nom	p8_prenom	p8_nuance	p8_voix	p9_panneau	p9_sexe	p9_nom	p9_prenom	p9_nuance	p9_voix	p10_panneau	p10_sexe	p10_nom	p10_prenom	p10_nuance	p10_voix	p11_panneau	p11_sexe	p11_nom	p11_prenom	p11_nuance	p11_voix	p12_panneau	p12_sexe	p12_nom	p12_prenom	p12_nuance	p12_voix	p13_panneau	p13_sexe	p13_nom	p13_prenom	p13_nuance	p13_voix	p14_panneau	p14_sexe	p14_nom	p14_prenom	p14_nuance	p14_voix	p15_panneau	p15_sexe	p15_nom	p15_prenom	p15_nuance	p15_voix	p16_panneau	p16_sexe	p16_nom	p16_prenom	p16_nuance	p16_voix	p17_panneau	p17_sexe	p17_nom	p17_prenom	p17_nuance	p17_voix	p18_panneau	p18_sexe	p18_nom	p18_prenom	p18_nuance	p18_voix	p19_panneau	p19_sexe	p19_nom	p19_prenom	p19_nuance	p19_voix	p20_panneau	p20_sexe	p20_nom	p20_prenom	p20_nuance	p20_voix	p21_panneau	p21_sexe	p21_nom	p21_prenom	p21_nuance	p21_voix	p22_panneau	p22_sexe	p22_nom	p22_prenom	p22_nuance	p22_voix
84_05	84	05	84400	42654	41746	499	219	41028	8	F	RODINSON	Claudine	DXG	216	2	F	CELCE	Céline	NUP	9134	1	M	BOURDIER	David	DVG	452	4	M	PINON	Jean-Paul	ECO	384	5	M	VINCETTI	Jean	ECO	1300	3	M	CHALENÇON	Christophe	DIV	122	9	M	LOVISOLO	Jean-François	ENS	10244	6	M	AUBERT	Julien	LR	7044	7	M	TRICHAUD	Jérémy	DSV	565	11	F	CHAVRIER	Catherine	REC	1932	10	F	THOMAS DE MALEVILLE	Marie	RN	9635																																																																		
85_01	85	01	118646	62696	55950	1123	591	54236	11	M	ROBIN	Gilles	DXG	627	7	F	ETONNO	Lucie	NUP	13106	3	F	SALAMA	Aya	DVG	256	10	M	DREYFUS	Etienne	DVG	219	9	M	DUBOIS	Arthur	ECO	455	12	M	BOUYER	Alain	ECO	1210	6	M	LATOMBE	Philippe	ENS	16624	2	M	CAILLAUD	Laurent	LR	9191	4	M	PILET	Vincent	DVD	990	5	M	HEE	Jean-François	DSV	796	8	M	MAUVOISIN-DELAVAUD	Eric	REC	1971	1	F	N'DONG	Lilas	RN	8791																																																												
85_02	85	02	112160	55519	56641	1017	424	55200	5	F	BARILLOT	Sophie	DXG	456	11	M	HELARY	Nicolas	NUP	12053	10	M	JAMONNEAU	Benoît	DVG	306	2	M	MARCHAND	Jérôme	ECO	433	4	F	GRÉAU	Ninon	ECO	2568	6	F	GHOUALI	Célia	DIV	73	9	F	BELLAMY	Béatrice	ENS	14334	3	M	LOISEAU	Patrick	DVC	2195	7	M	DE RUGY	Maxence	LR	9572	1	F	ORIZET-VIEILLEFOND	Sophie	DVD	701	12	F	CARPENTIER	Sophie	DSV	687	8	F	NEVEUX	Brigitte	REC	2157	13	M	LALOUE	Franck	RN	9665																																																						
85_03	85	03	135251	67719	67532	928	431	66173	4	M	FESTIEN	Philippe	DXG	749	5	M	MAUGER	Aurélien	NUP	11546	6	M	ANDRE	Benjamin	ECO	2884	8	M	BUCHOU	Stéphane	ENS	23870	3	M	BLANCHARD	Alain	LR	10475	7	M	MOREAU	Jean-Baptiste	DVD	1140	2	F	GUÉNOLÉ	Armelle	DSV	1355	1	F	FILLET	Corinne	RN	14154																																																																																				
85_04	85	04	102676	53141	49535	853	339	48343	8	F	BOUR	Claude	DXG	362	9	F	SAUVÊTRE	Céline	NUP	8498	7	F	FOUQUET	Virginie	DVG	438	2	M	BABARIT	Théodore	ECO	2797	10	F	LEGUILLE-BALLOY	Martine	ENS	10531	4	M	MAROLLEAU	Erick	DVD	665	5	F	BESSE	Véronique	DVD	16904	6	M	LE BARS	Denis	DVD	2300	3	M	UMLIL	Amine	DSV	630	1	M	DALCANTARA	Bruno	RN	5218																																																																								
85_05	85	05	84108	41913	42195	770	367	41058	1	M	JIMENEZ	Jordi	DXG	0	3	F	RUAULT	Béatrice	DXG	744	5	F	THIBAUD-LALERE	Thimothée	NUP	8261	4	M	DEBOUT	Benjamin	ECO	414	2	M	HENRIET	Pierre	ENS	15353	10	F	THIBAUD	Yveline	LR	4385	6	M	PERROY	Pierre	DVD	853	8	M	LEGENTILHOMME	Jacqueline	DSV	710	7	F	DELATRE	Sandrine	REC	1720	9	F	MAGNIN	Isabelle	RN	8618																																																																								
86_01	86	01	80577	39689	40888	728	316	39844	5	M	GAILLARD	Ludovic	DXG	645	6	F	BELLUCO	Lisa	NUP	12972	8	M	LAADNANI	Idriss	DVG	1	1	M	GIRAUDET	Alexandre	ECO	1147	7	F	FARINE	Elise	ECO	436	9	M	ASSOUMANI	Jeannot	DIV	70	2	F	BALLET-BLU	Françoise	ENS	11226	11	M	NEVEUX	Jérôme	UDI	5324	10	F	JARRY	Corine	DSV	588	3	F	DE MASCUREAU	Marie-Aline	REC	1181	4	M	COURTOIS	Kevin	RN	6254																																																																		
86_02	86	02	79489	36558	42931	780	298	41853	9	F	CHAUVIN	Agnes	DXG	490	2	M	BOUCHAREB	Frédéric	RDG	1881	4	F	SOUMAILLE	Valérie	NUP	14394	8	F	FERREIRA	Maryse	DVG	2	1	M	MAYENGA	Carridy	ECO	485	11	M	OUSSENI	Soifidine	DIV	58	10	M	HOULIÉ	Sacha	ENS	15416	6	F	DU CHAMBON	Roselyne	DSV	536	3	F	PROST	Marie Dolores	REC	1766	7	F	PHILIPPE	Céline	RN	5641	5	M	DESSAUX	Aurélien	DXD	1184																																																																		
86_03	86	03	72977	35104	37873	741	333	36799	2	F	JOUAN	Soizic	DXG	379	7	M	VALENTE	Jason	NUP	7585	8	M	CLÉMENT	Jean-Michel	DVG	4407	10	F	BARBOT	Isabelle	ECO	834	12	F	BOUTAYEB	Fatiha	DIV	22	6	M	LECAMP	Pascal	ENS	7637	5	M	ZERBIB	Léonard	LR	2362	3	M	BOCK	François	DVD	3195	11	M	MINOT	Patrick	DVD	651	4	F	BORTOLOTTI	Sabine	DSV	520	1	M	LEPERCQ	Olivier	REC	1510	9	M	SOULAT	Eric	RN	7697																																																												
86_04	86	04	73869	38379	35490	790	359	34341	6	M	VILLERET	Patrice	DXG	891	8	M	CARTIER	Flavien	NUP	7937	4	F	PIMOT	Sylvie	ECO	620	2	M	AUGER	Fabrice	DIV	118	3	M	LIEUTET	Gerard	REG	5	1	M	TURQUOIS	Nicolas	ENS	12919	5	M	GUICHARD	Patrick	DSV	678	9	M	VERDIN	Alain	REC	1434	7	F	LATUS	Marion	RN	9739																																																																														
