id	dep	circo	inscrits	abstentions	votants	blancs	nuls	exprimes	p1_panneau	p1_sexe	p1_nom	p1_prenom	p1_nuance	p1_voix	p2_panneau	p2_sexe	p2_nom	p2_prenom	p2_nuance	p2_voix	p3_panneau	p3_sexe	p3_nom	p3_prenom	p3_nuance	p3_voix	p4_panneau	p4_sexe	p4_nom	p4_prenom	p4_nuance	p4_voix	p5_panneau	p5_sexe	p5_nom	p5_prenom	p5_nuance	p5_voix	p6_panneau	p6_sexe	p6_nom	p6_prenom	p6_nuance	p6_voix	p7_panneau	p7_sexe	p7_nom	p7_prenom	p7_nuance	p7_voix	p8_panneau	p8_sexe	p8_nom	p8_prenom	p8_nuance	p8_voix	p9_panneau	p9_sexe	p9_nom	p9_prenom	p9_nuance	p9_voix	p10_panneau	p10_sexe	p10_nom	p10_prenom	p10_nuance	p10_voix	p11_panneau	p11_sexe	p11_nom	p11_prenom	p11_nuance	p11_voix	p12_panneau	p12_sexe	p12_nom	p12_prenom	p12_nuance	p12_voix	p13_panneau	p13_sexe	p13_nom	p13_prenom	p13_nuance	p13_voix	p14_panneau	p14_sexe	p14_nom	p14_prenom	p14_nuance	p14_voix	p15_panneau	p15_sexe	p15_nom	p15_prenom	p15_nuance	p15_voix	p16_panneau	p16_sexe	p16_nom	p16_prenom	p16_nuance	p16_voix	p17_panneau	p17_sexe	p17_nom	p17_prenom	p17_nuance	p17_voix	p18_panneau	p18_sexe	p18_nom	p18_prenom	p18_nuance	p18_voix	p19_panneau	p19_sexe	p19_nom	p19_prenom	p19_nuance	p19_voix	p20_panneau	p20_sexe	p20_nom	p20_prenom	p20_nuance	p20_voix	p21_panneau	p21_sexe	p21_nom	p21_prenom	p21_nuance	p21_voix	p22_panneau	p22_sexe	p22_nom	p22_prenom	p22_nuance	p22_voix
01_01	01	01	86187	43652	42535	490	234	41811	2	M	LAHY	Éric	DXG	391	8	M	GUÉRAUD	Sébastien	NUP	9982	7	F	ARMENJON	Eliane	ECO	1161	1	M	GUILLERMIN	Vincent	ENS	8071	3	M	BRETON	Xavier	LR	10599	5	M	MENDES	Michael	DSV	641	6	M	BELLON	Julien	REC	1995	4	F	PIROUX GIANNOTTI	Brigitte	RN	8971																																																																																				
01_02	01	02	99953	50270	49683	629	168	48886	3	M	GOUTAGNY	Vincent	DXG	415	1	F	LAPRAY	Lumir	NUP	12428	8	M	IGLÉSIS	Thomas	ECO	653	7	M	MARTET	Colin	DIV	265	2	M	DAUBIÉ	Romain	ENS	12916	5	M	NANCHI	Alexandre	LR	7192	4	M	BARATAY	Denis	DVD	618	10	F	CARRIER	Delphine	DSV	653	6	M	COSTA	Alexandre	REC	2392	9	M	EYRAUD	Olivier	RN	11354																																																																								
01_03	01	03	82204	45946	36258	385	144	35729	10	F	MAISONNETTE	Cécile	DXG	281	6	M	JOLIE	Christian	NUP	7990	8	M	KASTLER	Jean-Loup	ECO	1763	11	F	MORVAN LEMBERT	Marine	ECO	528	4	M	FERTE	Maxence	DIV	0	9	M	KOUASSI	Fulgence	DIV	596	3	F	GIVERNET	Olga	ENS	10704	12	M	BISETTI	Frank	DVC	71	7	F	BAUDE	Véronique	LR	6425	2	M	VERGNAS	Thierry	DSV	543	1	F	DUBARRY	Karine	REC	1835	5	M	FRANCK	Frédéric	RN	4993																																																												
01_04	01	04	94897	49258	45639	640	207	44792	5	M	COUSSON	Sylvain	DXG	308	6	M	BENMEDJAHED	Ali	RDG	2215	7	M	LERDA	Philippe	NUP	7786	2	M	DEFRASNE	Alban	DVG	11	3	M	FAVRE	Nicolas	ECO	1119	10	F	SEGUIN	Isabelle	ENS	7317	12	M	TROMPILLE	Stéphane	DVC	4211	1	M	REIHANIAN	Aurane	LR	7198	9	M	FORCA	Sacha	DVD	443	11	F	VEILLEROT	Annick	DSV	562	8	M	DE BOYSSON	Benoît	REC	2506	4	M	BUISSON	Jérôme	RN	11116																																																												
01_05	01	05	77456	40382	37074	820	206	36048	8	F	CROZET	Sylvie	DXG	414	5	F	PISANI	Florence	NUP	8485	9	M	BOULMÉ	Jean-Michel	DVG	281	3	M	YILMAZ	Celil	DIV	704	10	M	MARTINEZ	Julien	LR	3580	4	M	ABAD	Damien	DVD	12034	6	F	PARIS	Stéphanie	DVD	931	2	M	FABRIS	Grégory	DSV	436	1	M	TOURNIER-BILLON	Philippe	REC	2073	7	F	NAMBOTIN	Joëlle	RN	7110																																																																								
02_01	02	01	72479	37772	34707	546	227	33934	3	M	PERNELLE	Jean-Loup	DXG	500	4	M	FENIOUX	Olivier	NUP	6463	1	F	BONO-VANDORME	Aude	ENS	7939	8	M	MOUGENOT	Paul	LR	3853	5	F	RIBEIRO	Carole	DVD	2052	6	M	DEGOUY	Michel	DSV	570	2	M	CAUCHY	Benjamin	REC	1312	7	M	DRAGON	Nicolas	RN	11245																																																																																				
02_02	02	02	73176	39923	33253	473	187	32593	3	F	ZANDITÉNAS	Anne	DXG	315	1	M	RANSQUIN	Sulyvan	NUP	5757	7	F	BÉCOURT	Corinne	DVG	505	6	M	LEPEUPLE	Eric	DIV	288	5	F	EL OUASDI	Fatima	ENS	3755	2	M	DIVE	Julien	LR	11704	8	F	AMEWOUI	Cécé	REC	938	4	F	PUISSANT	Lola	RN	9331																																																																																				
02_03	02	03	66709	36374	30335	626	248	29461	1	F	VOISIN	Laetitia	DXG	762	6	M	BRICOUT	Jean-Louis	NUP	13518	4	M	MOINEUSE	Jérome	LR	3584	5	F	CHOTIN	Agnès	DSV	462	2	M	BERNARDEAU	Hervé	REC	1617	3	M	HANSEN-CATTA	Paul-Henry	RN	9518																																																																																																
02_04	02	04	78792	44526	34266	548	201	33517	5	F	BOUILLAGUET	Flora	DXG	652	2	M	GALL	Aurélien	NUP	7461	6	M	DELATTE	Marc	ENS	7632	3	M	BOBIN	David	LR	4300	7	M	CRÉON	Damien	DSV	689	4	F	VICENTE	Vanessa	REC	810	1	M	BEAURAIN	José	RN	11973																																																																																										
02_05	02	05	83141	43824	39317	588	191	38538	1	M	GARCIA	Francis	DXG	515	7	M	FRERE	Stéphane	NUP	7265	6	F	VACCA	Françoise	ECO	892	3	F	ROUSSEL	Jeanne	ENS	6214	2	M	EUGÈNE	Sébastien	DVC	6093	9	F	GILQUIN	Jade	LR	1873	8	M	BOLLÉE	Joffrey	DSV	714	5	F	TRIBOULET	Florence	REC	1400	4	M	DESSIGNY	Jocelyn	RN	13572																																																																														
03_01	03	01	89347	43558	45789	959	413	44417	5	M	COLLOT	Jean-Marc	DXG	610	9	M	MONNET	Yannick	NUP	13578	4	M	MALLOT	Jean	DVG	3463	1	F	SENNEPIN	Marion	ECO	779	3	M	BARBARIN	Michel	ENS	8634	8	M	LITAUDON	Roger	LR	5476	7	M	MALAVAUD	Fabien	DVD	936	6	M	DE NICOLAY	Pierre	REC	2326	2	F	CIBERT	Marie	RN	8615																																																																														
03_02	03	02	80971	39792	41179	857	402	39920	6	M	LEBEL	Bernard	DXG	365	8	F	LÉGUILLON	Marie-Claude	RDG	929	13	F	HERITIER	Louise	NUP	8719	12	M	POZZOLI	Bernard	DVG	4186	5	M	GUILLAUMIN	Jean-Marie	ECO	1059	7	M	CHATEL	Philippe	REG	585	10	M	THOMAS	Luc	REG	137	11	F	VANCEUNEBROCK	Laurence	ENS	6796	1	M	TRIKI	Samir	DVC	3037	2	M	KEGELART	Jean-Jacques	LR	4468	3	M	AFFRAIX	Christophe	DSV	440	4	F	DE NICOLAY	Axelle	REC	1557	9	M	BOVET	Jorys	RN	7642																																																						
03_03	03	03	80192	39572	40620	689	318	39613	1	M	RAMEAU	Jean-Francois	DXG	482	5	F	RÉCHARD	Isabelle	RDG	1655	7	F	DENFERD	Elsa	NUP	7737	2	M	DUCHÉ	Paul	ECO	701	4	M	PENDELIAU	Yves-Marie	DIV	4	6	F	PEYROL	Bénédicte	ENS	9219	3	M	RAY	Nicolas	LR	9594	10	F	CORBIN	Lydie	DSV	594	9	F	LACOUR	Sophie	REC	1580	8	M	JULIEN	Quentin	RN	8047																																																																								
04_01	04	01	61962	29807	32155	676	235	31244	5	F	ROS	Annabel	DXG	302	10	F	BAGARRY	Delphine	NUP	8744	2	F	LYONS	Sylvie	DVG	1249	4	F	VAN HEESBEKE	Nicole	ECO	772	9	F	ROLLAND	Patricia	ECO	423	6	M	POTIE	Bruno	DIV	619	8	M	RECOTILLET	Pascal	REG	196	7	M	AUDAN	Paul	ENS	7008	3	F	BLANC	Dominique	DVD	544	12	M	GIACOMINO	Romaric	DSV	749	1	F	MIFFRED	Laurine	REC	1728	11	M	GIRARD	Christian	RN	8910																																																												
04_02	04	02	66661	31854	34807	607	277	33923	6	M	KECHRA	Frédéric	DXG	254	9	M	VICENTE	Laurent	DXG	174	10	M	SOLER	Jean-Luc	DXG	160	12	M	WALTER	Léo	NUP	9940	3	F	RAZEAU	Clémence	ECO	781	5	F	HUE-COURTIN	Nathalie	ECO	555	13	M	BEGNIS	Thierry	ECO	343	1	M	GUERRERA	Hervé	REG	299	11	M	CASTANER	Christophe	ENS	10232	2	F	FERREIRA	Marie	UDI	1288	7	F	DAUX	Danièle	DSV	559	4	F	CADENEL	Myriam	REC	1433	8	F	ABEILLE	Aurélie	RN	7905																																																						
05_01	05	01	59643	28488	31155	592	274	30289	11	F	BUISSON	Véronique	DXG	415	2	M	PHILIPPO	Michel	NUP	8562	1	F	GAMERRE	Christine	ECO	629	4	F	PRATALI	Fabienne	ECO	318	7	M	SCARAMOZZINO	Roland	ECO	506	8	F	RECOTILLET	Lise	REG	268	3	F	BOYER	Pascale	ENS	7543	10	M	PARA	Kevin	LR	3803	5	F	HERBAUT	Camille	DSV	577	6	F	HOURS	Patricia	REC	1116	9	M	SARLIN	Eric	RN	6552																																																																		
05_02	05	02	54274	25057	29217	423	168	28626	7	M	GUIGNARD	Boris	DXG	179	9	F	MOUNAL	Capucine	NUP	8365	3	M	ROUX	Rémi	DVG	1077	6	M	PASSEREAU	Yann	ECO	305	1	M	GIRAUD	Joel	ENS	10889	5	F	CHAUVET	Carole	LR	1549	2	F	BESSONNIER	Sandrine	DSV	383	4	F	PELISSIER	Margot	REC	883	8	M	ALBRAND	Louis	RN	4996																																																																														
06_01	06	01	82307	45791	36516	312	646	35558	1	M	IMBERT	Florent	DXG	192	11	F	CHAINTRON	Anne-Laure	NUP	7260	6	F	ATHANASOPOULOS	Kenza	DVG	546	5	M	LALANDE	Loïc	ECO	444	10	M	RAZEAU	Christian	ECO	911	12	F	BEN MOULAY	Lalla-Chama Gabrielle	ECO	332	3	F	DLOUSSKY	Nathalie	DIV	1	9	F	BEAUDET	Chantal	DIV	87	8	M	MONETTI	Graig	ENS	9215	2	M	CIOTTI	Eric	LR	11271	7	F	ZAKRZEWSKI	Sylvie	DSV	570	4	F	VITETTI	Muriel	RN	4729																																																												
06_02	06	02	89174	47991	41183	628	217	40338	10	M	BOUILLEAUX	Alain	DXG	272	4	F	NAFFATI	Sonia	NUP	7591	2	F	SULTANI	Emmanuelle	ECO	728	6	F	REYNARD	Brigitte	ECO	1269	12	M	POTENTIER	Laurent	DIV	71	11	M	DOMBREVAL	Loïc	ENS	9547	3	M	MACARIO	Jean-Marc	LR	5686	5	M	GAIFFE	Alexandre	DVD	386	8	M	AÏSSOU	Abdel	DVD	1396	1	M	MORLOT	Philippe	DSV	823	7	M	ISNARD	Patrick	REC	2930	9	M	TIVOLI	Lionel	RN	9639																																																												
06_03	06	03	91821	52313	39508	458	217	38833	1	F	JAQUET	Estelle	DXG	259	10	F	BOY-MOTTARD	Dominique	RDG	1023	5	M	GIUSTI	Enzo	NUP	8524	2	M	MERCIER	Gabriel-Kayne	ECO	540	6	M	DARMON	David-André	ECO	1062	8	F	CAUSSIN	Marie-Françoise	ECO	613	12	F	BONALDI	Sylvie	ECO	207	11	M	BENOIT	Yann	DIV	84	7	M	PRADAL	Philippe	ENS	10113	9	M	CASTILLO	Laurent	LR	4973	13	F	RIVIERE	Marie-Ange	DSV	550	3	M	VARDON	Philippe	REC	4217	4	M	KANDEL	Benoît	RN	6668																																																						
06_04	06	04	85281	46689	38592	528	220	37844	1	M	MARKIEL	Joseph	DXG	261	7	F	BOURNOT-POULET	Sophie	NUP	5803	2	M	BIEDER	David	ECO	534	4	F	BEYL	Christine	ECO	530	5	M	DUCREUX	Pascal	ECO	1117	3	F	VALETTA-ARDISSON	Alexandra	ENS	8464	8	M	ROUX	Roger	LR	5494	6	M	CARBONEL	Fabrice	DSV	680	10	M	RIEU	Damien	REC	4036	9	F	MASSON	Alexandra	RN	10925																																																																								
06_05	06	05	91172	50692	40480	454	244	39782	7	F	BENKEMOUN	Agnès	DXG	293	8	M	BENASSAYA	Philippe	NUP	7052	3	F	SOISSON	Nathalie	ECO	465	9	F	MAIYÉ	Géraldine	ECO	1381	10	M	SPACH	J-C. Wahid	DIV	176	4	F	BRENIER-OHANESSIAN	Marine	ENS	10400	6	F	D'INTORNI	Christelle	LR	8943	1	M	DELHEZ	Thibault	DSV	669	2	M	VELLA	Cédric	REC	2843	5	M	KHALIFA	Frank	RN	7560																																																																								
06_06	06	06	80167	42568	37599	595	85	36919	1	F	BARTOLI	Danièle	DXG	157	4	F	MAZZELLA	Nicole	NUP	4910	7	M	ROBIONY	Philippe	ECO	979	9	M	PIACENTINI	Pierre	ECO	597	10	M	JULIEN	Guillaume	ECO	468	6	M	MION	Jean-Bernard	ENS	8489	3	M	TOUZEAU-MENONI	Philippe	DVC	539	2	F	TRASTOUR-ISNART	Laurence	LR	7450	5	M	LOUVEZ	Philippe	DSV	391	11	M	CIESLIK	Denis	REC	3590	8	M	MASSON	Bryan	RN	9349																																																																		
06_07	06	07	97531	51469	46062	501	93	45468	14	M	PETARD	Christian	DXG	124	4	M	MEYER-ABBATUCCI	Arthur	NUP	7086	2	M	DELCASSE	Arnaud	DVG	950	1	F	VALLADE	Marie-José	ECO	1146	8	M	HVIDSTEN	Axel	ECO	566	10	F	PARGAUD	Megane	ECO	544	5	M	BELGUECHI	Yassin-Faïsal	DIV	33	13	M	MARECHAL	Stanislas	DIV	366	6	M	MELE	Eric	ENS	10814	3	M	PAUGET	Eric	LR	12031	12	F	HUMBERT	Bérengère	DVD	137	9	F	FEBVAY	Laurie	DSV	524	7	F	MARIUS	Audrey	REC	3472	11	M	CORNEC	Tanguy	RN	7675																																																
06_08	06	08	84297	47468	36829	364	110	36355	3	M	DUBOIS	Damien	DXG	89	9	F	PEREIRA	Marie-José	DXG	163	11	F	SOUDANT	Lucia	NUP	4506	4	F	FONTANESI	Chantal	ECO	272	6	F	BIBIANO	Marie	ECO	658	8	F	HAMONET	Chantal	ECO	504	7	M	CLAUDEL	Bernard	DIV	72	2	M	DESENS	Jean-Valéry	ENS	7080	10	F	MARTIN	Alexandra	LR	12144	1	F	MARTINS	Adelia	DSV	620	5	M	GROSJEAN	Adrien	REC	3481	12	F	LANDERER	Dorette	RN	6766																																																												
06_09	06	09	81450	44246	37204	439	116	36649	9	F	PÉCOUT	Liliane	DXG	174	6	F	CHASSERIAUD	Chantal	NUP	5395	7	F	BARROERO	Evelyne	ECO	1351	10	M	MATUSZEWSKI	Christian	ECO	487	5	M	BOULAY	Nicolas	DIV	390	8	F	TUDIESCHE	Mayaa	ENS	5538	4	M	CAMERANO	Jean-Paul	DVC	1812	2	F	TABAROT	Michèle	LR	10605	1	M	PAUCHET	David	DSV	667	3	M	NGUYEN	Xuan Truong	REC	2712	11	M	GALBERT	Franck	RN	7518																																																																		
07_01	07	01	79305	38813	40492	696	331	39465	6	F	VANDER DONCKT	Muriel	DXG	702	9	M	CHAMBONNET	Pascal	DXG	446	4	M	SAULIGNAC	Hervé	DVG	15107	5	M	TZAPRENKO	Boris	ECO	631	10	F	MADEIRA	Clara	REG	441	1	F	GINEYS	Severine	ENS	6757	7	M	VALLA	Michel	DVD	4081	3	M	LE LOHER	Erick	DSV	604	2	F	FLACH	Marie Élisabeth	REC	1494	8	F	PORQUET	Céline	RN	9202																																																																								
07_02	07	02	96561	45518	51043	802	262	49979	2	F	GAILLARD	Michèle	DXG	640	7	M	GOULOUZELLE	Christophe	NUP	11785	6	M	CHAIZE	Martin	REG	902	9	M	DUSSOPT	Olivier	ENS	15014	5	M	QUENETTE	Marc-Antoine	LR	8941	4	M	GLADIEUX	Sébastien	DVD	641	1	F	GUILMIN	Claire	DSV	777	8	M	BORY	Philippe	REC	1767	3	M	GRANGIER	Cyrille	RN	9512																																																																														
07_03	07	03	80824	35239	45585	457	192	44936	8	M	MARCHISIO	Christophe	DXG	303	2	F	PALLOT	Florence	NUP	11989	10	M	UGHETTO	Laurent	DVG	5934	5	F	TEILLET	Audrey	ECO	446	3	F	ALIROL	Anne	REG	330	1	F	CAUQUIL	Alexandra	ENS	5913	4	M	BRUN	Fabrice	LR	11217	6	M	SILVA	Gonzague	DSV	572	9	M	GANDON	Gérald	REC	1268	7	M	VERHEIJ	Johan	RN	6964																																																																								
08_01	08	01	70937	37927	33010	516	246	32248	6	F	OCTAVE	Nadia	DXG	425	2	M	DURUISSEAU	Julien	NUP	5960	3	M	RENNESSON	Arnaud	ECO	927	4	M	VUIBERT	Lionel	ENS	6602	8	F	DE CAUSANS	Juliette	DVC	1379	7	M	MARECHAL	Guillaume	LR	6338	5	M	KALMES	Patrick	DSV	344	9	M	LAURENT	Sébastien	REC	1438	1	M	RICHARD	Laurent	RN	8835																																																																														
08_02	08	02	60726	34278	26448	265	112	26071	5	F	TAKAWÉ	Mink	DXG	202	6	M	BENYOUCEF	Patrick	DXG	226	3	M	LOYEZ	Gilles	NUP	4970	4	F	GALLET	Christelle	ECO	248	2	F	BEDDELEM	Polina	ENS	3309	9	M	CORDIER	Pierre	LR	10685	7	F	BELLAY	Christelle	DSV	264	1	F	JACQUEMART	Nadège	REC	682	8	M	PHILIPPO	Baptiste	RN	5485																																																																														
08_03	08	03	55268	28956	26312	278	177	25857	6	F	AUGIER	Laure	DXG	321	5	F	PERRIN	Sophie	NUP	3822	7	F	PELTRIAUX	Monique	ECO	156	3	F	DRION	Estelle	ENS	2235	4	M	WARSMANN	Jean-Luc	DVD	12332	2	F	BATISSE	Stella	DSV	310	1	M	NORTH	Bruno	REC	923	8	M	LEMOINE	David	RN	5758																																																																																				
09_01	09	01	57465	25041	32424	707	477	31240	8	F	LAPEYRE	Gisèle	DXG	420	2	F	TAURINE	Bénédicte	NUP	10347	6	F	COULY	Claire	DVG	2	9	F	FROGER	Martine	DVG	5646	4	M	FABART	Renaud	ECO	413	10	M	SALVAT	Jean-Pierre	REG	340	7	F	TRIBOUT	Anne-Sophie	ENS	6237	5	M	LOMRÉ	Yannick	DSV	472	3	M	JOSSINET	François-Xavier	REC	1134	1	M	GARNIER	Jean-Marc	RN	6229																																																																								
09_02	09	02	62019	28653	33366	598	326	32442	11	F	TESTARD	Théodora	DXG	244	7	M	LARIVE	Michel	NUP	9424	5	M	PANIFOUS	Laurent	DVG	7068	6	M	LAFFONT	Patrick	DVG	871	2	M	CHAROY	Quentin	ECO	387	8	M	DE KERIMEL	Yann	DIV	928	4	M	GARCIA	Enzo	REG	543	9	M	DUTRENOIS	Rémi	ENS	4237	10	M	AFONSO	Paul	UDI	783	3	F	TARRIEUX-ANTRANIKIAN	Alexandra	REC	1271	1	F	CARRIE	Bérengère	RN	6686																																																																		
10_01	10	01	64536	32449	32087	505	167	31415	8	M	PAILLARD	Lionel	DXG	429	7	M	SPAGNESI	Laurent	NUP	4558	5	F	CANAUD	Marie-Elisabeth	DIV	884	2	M	BESSON-MOREAU	Grégory	ENS	7615	6	F	PIEPLU	Lydie	DVC	324	1	F	FRAENKEL	Stéphanie	LR	5093	4	M	GIACOMONI	Hervé	REC	1106	3	M	GUITTON	Jordan	RN	11406																																																																																				
10_02	10	02	75268	38093	37175	504	185	36486	1	M	VALLÉE	Romain	DXG	492	7	F	FRAINCART	Sarah	NUP	6164	5	M	BEAUFUMÉ	Sébastien	ECO	520	6	F	FONTAINE-GARCIA	Salomé	ENS	6130	2	M	RIGLET	Sébastien	DVC	546	9	F	BAZIN-MALGRAS	Valérie	LR	10425	3	F	PUFF	Isabelle	DSV	524	8	M	IGNATOVITCH	Etienne	REC	1695	4	F	HENRY	Evelyne	RN	9990																																																																														
10_03	10	03	66547	35552	30995	468	185	30342	1	M	ANDRIEUX	Pascal	DXG	455	3	M	SEFFALS	Gaëtan	NUP	6430	5	M	MENISSIER	Dominique	ECO	425	11	F	COLLOT-TOUZÉ	Nelly	ECO	942	6	F	BEURY	Loëtitia	ENS	6546	9	M	FREVILLE	Didier	DVC	244	8	M	GATOUILLAT	Baptiste	LR	4507	2	F	FERNANDEZ	Laure	DSV	504	4	M	HELICK	Lyonnel	DSV	13	7	F	LOPES VAZ	Céline	REC	1318	10	F	RANC	Angélique	RN	8958																																																																		
11_01	11	01	98471	48594	49877	1054	442	48381	7	F	GADRAT	Nicole	DXG	737	9	F	COURRIÈRE CALMON	Sophie	NUP	13620	2	F	AMALRIC	Laure-Nelly	ECO	1445	3	F	DANDEU	Patricia	ECO	657	4	F	SIKORA	Juliette	DIV	0	10	F	HÉRIN	Danièle	ENS	10636	8	M	PEREZ	Laurent	LR	2501	5	M	BIASOLI	Gilbert	DSV	623	1	M	ROULLIAUX	Axel	REC	2291	6	M	BARTHÈS	Christophe	RN	15871																																																																								
11_02	11	02	92627	47787	44840	643	245	43952	10	F	VIGIER	Annette	DXG	281	1	M	ROCHER	Edouard	RDG	3303	8	F	THIVENT	Viviane	NUP	9204	3	M	VASSEUR	Baptiste	DVG	452	4	F	MONTERO-VALLE	Valérie	ECO	846	9	M	CAMBON	Cyril	ECO	352	14	M	MIRABILE	Fabien	ECO	324	5	M	LENFANT	Gérard	DIV	927	12	M	PEREA	Alain	ENS	9666	7	M	CALGARO	Christian	DVC	87	13	M	ESTRADE	Quentin	LR	3706	6	M	THOMAS	Francis	DSV	424	11	M	DARAUD	Jean-François	REC	2015	2	M	FALCON	Frédéric	RN	12365																																																
11_03	11	03	89784	39680	50104	1001	466	48637	6	M	MARTIN	Michel	DXG	131	11	M	GALONNIER	Dominique	DXG	498	1	M	TURCHETTO	Aurélien	RDG	4383	8	F	ADDA--NETTER	Johanna	NUP	12547	2	M	MARTINEZ	Pierre	ECO	435	9	M	CROS	Jacques	ECO	1554	7	F	ROBERT	Mireille	ENS	10624	10	F	POTTIER	Carine	UDI	1573	4	F	HABERT	Martine	DSV	772	5	F	DUCOM	Valérie	REC	2282	3	M	RANCOULE	Julien	RN	13838																																																																		
12_01	12	01	78131	35694	42437	655	376	41406	5	F	SAINT-AVIT	Arlette	DXG	343	8	M	THEBAULT	Léon	NUP	8922	7	F	DUMAY	Marie-Françoise	ECO	432	3	M	MAZARS	Stéphane	ENS	17580	6	F	BESSAOU	Magali	LR	5436	1	M	DA CRUZ	Antoine	DVD	1405	9	M	ARMET	Jean-Philippe	DSV	488	2	M	BES DE BERC	Godefroy	REC	1409	4	F	PLANE	Julia	RN	5391																																																																														
12_02	12	02	69158	30194	38964	693	353	37918	7	F	EL HEDRI	Lucile	DXG	220	8	M	CANTOURNET	Eric	RDG	3835	2	M	ALEXANDRE	Laurent	NUP	10534	11	M	CLERGUE	Dominique	DVG	18	10	F	CASSARINI	Myriam	ECO	710	1	M	DEGUARA	Samuel	ENS	8568	3	M	AT	André	LR	5907	4	M	BARTHE	Florian	DVD	1300	9	M	VIDAL	Jean-Luc	DSV	753	6	M	DUVAL	Dominique	REC	1208	5	M	LELEU	Bruno	RN	4865																																																																		
12_03	12	03	72513	32331	40182	955	487	38740	1	M	COMBES	Bernard	DXG	491	4	M	RHIN	Michel	NUP	10493	7	M	NOEL	Thierry	ECO	1	8	M	MIRAN	Patrice	ECO	970	2	M	ROUSSET	Jean-François	ENS	9741	5	M	SAINT-PIERRE	Christophe	LR	6818	9	M	DAURES	Jean-Marie	DVD	2909	3	F	TENDIL	Lysiane	REC	1300	6	M	CAZORLA	Jean Christophe	RN	6017																																																																														
13_01	13	01	81442	47422	34020	492	136	33392	4	M	CECONE	Marc	DXG	275	9	M	ROSIQUE	Thibaud	NUP	8092	2	M	BONNARD	Xavier	ECO	253	3	F	CHENNOUF	Ferielle	ECO	764	8	F	JABES	Flora	ECO	336	7	M	AVRIL	Julien	DIV	3	10	F	LANZALAVI	Marie	REG	62	12	F	AGRESTI ROUBACHE	Sabrina	ENS	8487	13	F	BOUALEM-AUBERT	Sarah	LR	2230	6	M	GIOIA	Victor	DVD	437	5	F	CARAVELLAZI	Céline	DSV	560	1	F	GRECH	Sophie	REC	2790	11	F	GRISETI	Monique	RN	9103																																																						
13_02	13	02	83613	42762	40851	405	161	40285	9	F	ESPAZE	Brigitte	DXG	218	11	M	RUPNIK	Alexandre	NUP	10101	1	M	ASSOULY	Avi	ECO	713	2	F	DENNEVAL	Florence	ECO	380	4	M	SURRY	Dominique	ECO	943	6	M	PERETTI	Sébastien	DIV	0	8	M	PERSIA	Alain	DIV	165	5	F	PITOLLAT	Claire	ENS	12026	10	F	BERNASCONI	Sabine	LR	5262	3	F	ERMACORA	Hélène	DSV	436	12	M	GRAFFEO	Jean-Marc	REC	3480	7	F	PARODI	Clémence	RN	6561																																																												
13_03	13	03	75982	47766	28216	395	135	27686	11	F	GRANDEL	Jacqueline	DXG	289	3	M	BENSAADA	Mohamed	NUP	7678	2	F	SI AHMED	Nadia	ECO	672	4	F	SAID	Elisabeth	ECO	0	6	M	TORDJMANN	Adam	ECO	258	10	F	BELKAROUI	Nora	REG	205	7	F	LOUIS	Alexandra	ENS	6056	8	M	COCAIGN	Bruno	DVC	302	9	M	PAPPALARDO	Patrick	LR	995	5	F	D'ANGIO	Sandrine	REC	4215	1	F	LELOUIS	Gisèle	RN	7016																																																																		
13_04	13	04	64937	39722	25215	329	134	24752	4	F	DUPUY	Martine	DXG	142	6	F	BONNET	Isabelle	DXG	269	7	M	BOMPARD	Manuel	NUP	13871	1	F	VINCETTI	Elisabeth	ECO	723	2	F	HEUGUET	Mathilde	ECO	201	12	M	TIRERA	Wally	ECO	292	10	F	BEN MOHAMED	Kaouther	DIV	362	11	M	BENSAID	Majid	DIV	213	5	F	MANICACCI	Léa	REG	80	14	F	AKODAD	Najat	ENS	3683	8	M	BOUALEM	Miloud	DVC	434	13	F	BIAGGI	Solange	LR	1176	3	F	RASTIT	Sandrine	REC	910	9	M	TELLIER	Julien	RN	2396																																																
13_05	13	05	73599	39564	34035	387	157	33491	5	F	NGUYÊN-VAN	Mai	DXG	161	11	F	MALHOLE	Nathalie	DXG	228	14	M	DAVI	Hendrik	NUP	13496	12	M	VINAPON	Georges	DVG	60	2	M	MONFERRINI	Christian	ECO	215	8	M	DIDOUNE	Djamel	ECO	245	13	F	DURAND	Céline	ECO	319	16	M	VINCETTI	Quentin	ECO	758	15	F	CHAMAYOU	Anne	DIV	156	9	F	RACON-BOUZON	Cathy	ENS	7841	1	F	RUSSO	Joséphine	DVC	335	7	M	BELAÏD	Mourad	DVC	502	6	F	ANTOINE	Maryline	LR	1346	4	F	PAGANINI	Vannina	DVD	142	3	M	DE BENSASON	Marc	DSV	397	10	F	MANIVET	Marine	REC	2159	17	F	LAMBERT	Sandrine	RN	5131																														
