dep	circo	panneau	sexe	nom	prenom	nuance_ministere	nuance_lemonde	bloc_lemonde	parti_lemonde
68	04	11	M	REFFAY	Guillaume	ECO	EAC	Divers	Ecologie au centre
68	04	12	F	CHRISTOPHE	Sylvie	DSV	Pat.	Extrême droite	Les Patriotes
68	04	13	F	GAREL	Chrystelle	NUP	LFI-Nupes	Nupes	La France insoumise
68	05	1	M	BECHT	Olivier	ENS	Agir-Ensemble	Ensemble	Agir
68	05	2	M	DOLUI	David	DVG	div. g.	Gauche	Divers gauche
68	05	3	M	OCHE	Lionel	DSV	Pat.	Extrême droite	Les Patriotes
68	05	4	M	BARAZI	Alexandre	ECO	EAC	Divers	Ecologie au centre
68	05	5	M	COLOM	Florian	LR	LR	LR-UDI	Les Républicains
68	05	6	M	TAFFARELLI	Emmanuel	REC	Rec.	Reconquête	Reconquête !
68	05	7	F	STEIMER	Marie Odile	ECO	écol.	Divers	divers écologistes
68	05	8	M	CHAMY	André	DIV	div.	Divers	divers inclassable
68	05	9	M	PINTO	Pierre	RN	RN	Rassemblement national	Rassemblement national
68	05	10	M	KELTOUMI	Salah	DXG	LO	Extrême gauche	Lutte ouvrière
68	05	11	F	NIMESKERN	Amalia	ECO	Anim.	Divers	Parti animaliste
68	05	12	F	EL HAJJAJI	Nadia	NUP	Gen.-Nupes	Nupes	Génération.s
68	05	13	M	BASCHUNG	Régis	REG	Unser-RPS	Régionalistes	Unser Land
68	06	1	M	TARANTOLA	Hugo	ECO	EAC	Divers	Ecologie au centre
68	06	2	M	BLUM	Pascal	ECO	écol.	Divers	divers écologistes
68	06	3	F	KARLEN-DEBÈVE	Mireille	REG	div. c.	Centre	divers centre
68	06	4	M	LOURENÇO	Romuald	DSV	DLF	Extrême droite	Debout la France
68	06	5	M	BARTH	Stephane	ECO	Anim.	Divers	Parti animaliste
68	06	6	M	BEAUSSART	Pascal	DSV	souv.	Divers	divers souverainistes
68	06	7	F	MULOT	Nathalie	DXG	LO	Extrême gauche	Lutte ouvrière
68	06	8	M	SEVIN	Guillaume	DVD	div. d.	Droite	divers droite
68	06	9	M	ROTH	Laurent	REG	Unser-RPS	Régionalistes	Unser Land
68	06	10	M	MARCELLI	Sylvain	REC	Rec.	Reconquête	Reconquête !
68	06	11	M	ZILL	Yvan	DVC	div. c.	Centre	divers centre
68	06	12	F	HEBERT	Léonie	NUP	LFI-Nupes	Nupes	La France insoumise
68	06	13	F	GERHART	Anne	DVC	LCen.	Droite	Les Centristes
68	06	14	F	RITZ	Christelle	RN	RN	Rassemblement national	Rassemblement national
68	06	15	M	FUCHS	Bruno	ENS	MoDem-Ensemble	Ensemble	Mouvement démocrate
68	06	16	M	BREINER	Dimitri	DIV	Pirate	Divers	Parti Pirate
69	01	1	F	PROST	Anne	LR	LR	LR-UDI	Les Républicains
69	01	2	M	DAYME	Grégory	RDG	LRM dis.	Centre	dissident La République en marche
69	01	3	M	RUDIGOZ	Thomas	ENS	LRM-Ensemble	Ensemble	La République en marche
69	01	4	F	GAGARINE	Voliaria	RN	RN	Rassemblement national	Rassemblement national
69	01	5	F	VUARIN--APPA PLAZA	Celina	DVD	Rés.	Droite	Résistons !
69	01	6	F	BONFILS	Sixtine	REC	Rec.	Reconquête	Reconquête !
69	01	7	F	GRIES	Aurélie	NUP	LFI-Nupes	Nupes	La France insoumise
69	01	8	F	COLOMBIER	Fanny	DIV	div.	Divers	divers inclassable
69	01	9	M	CHARRON	Patrick	DIV	Anim.	Divers	Parti animaliste
69	01	10	M	BUGNI	Jim	DXG	LO	Extrême gauche	Lutte ouvrière
69	02	1	M	SIMON	Pierre	REC	Rec.	Reconquête	Reconquête !
69	02	2	M	PRIETO	Philippe	DVG	PS dis.	Gauche	dissident PS hors accord Nupes
69	02	3	M	JULIEN-LAFERRIERE	Hubert	NUP	GE-Nupes	Nupes	Génération écologie
69	02	4	F	VELICITAT	Claire	ECO	Anim.	Divers	Parti animaliste
69	02	5	M	BÖHNKE	Laurent	ECO	écol.	Divers	divers écologistes
69	02	6	M	DRIOLI	Adrien	DVG	FGR	Gauche	Fédération de la gauche républicaine
69	02	7	M	TERRENES	Loic	ENS	LRM-Ensemble	Ensemble	La République en marche
69	02	8	F	SINTÈS	Sylvine	RN	RN	Rassemblement national	Rassemblement national
69	02	9	M	COULAN	Pascal	DIV	div.	Divers	divers inclassable
69	02	10	F	BRIDAY	Delphine	DXG	LO	Extrême gauche	Lutte ouvrière
69	02	11	F	FOGEL-JEDIDI	Myriam	LR	LR	LR-UDI	Les Républicains
69	02	12	M	ARNAULT	Raphaël	REG	NPA	Extrême gauche	Nouveau Parti anticapitaliste
69	02	13	F	AISSOU	Karima	ECO	écol.	Divers	divers écologistes
69	02	14	M	ALI	Muhammad	DIV	UDMF	Divers	Union des démocrates musulmans français
69	02	15	F	RANNOU	Delphine	DXG	POID	Extrême gauche	Parti ouvrier indépendant démocratique
69	03	1	F	DE MONTILLE	Béatrice	LR	LR	LR-UDI	Les Républicains
69	03	2	M	CHINAL	Marc	DIV	div.	Divers	divers inclassable
69	03	3	F	PEILLON	Sarah	ENS	LRM-Ensemble	Ensemble	La République en marche
69	03	4	M	DUDUKDJIAN	Jean-Noël	DXG	LO	Extrême gauche	Lutte ouvrière
69	03	5	M	VOLLORY	Gérard	RN	RN	Rassemblement national	Rassemblement national
69	03	6	F	BARRALLON	Anaïs	DXG	NPA	Extrême gauche	Nouveau Parti anticapitaliste
69	03	7	F	GUILLAUMONT	Nadège	ECO	Anim.	Divers	Parti animaliste
69	03	8	M	GEFFRAULT	Alexis	DIV	UDMF	Divers	Union des démocrates musulmans français
69	03	9	F	RAMOS	Valérie	ECO	écol.	Divers	divers écologistes
69	03	10	M	DELUCENAY	Olivier	REC	Rec.	Reconquête	Reconquête !
